日期,开盘,收盘,最高,最低,成交量,年月
2014-01-02,2112.126,2109.387,2113.11,2101.016,6848548608.0,2014-01
2014-01-03,2101.542,2083.136,2102.167,2075.899,8449724160.0,2014-01
2014-01-06,2078.684,2045.709,2078.684,2034.006,8958760704.0,2014-01
2014-01-07,2034.224,2047.317,2052.279,2029.246,6340293888.0,2014-01
2014-01-08,2047.256,2044.34,2062.952,2037.11,7164736512.0,2014-01
2014-01-09,2041.773,2027.622,2057.196,2026.446,7594188288.0,2014-01
2014-01-10,2023.535,2013.298,2029.297,2008.007,7561612032.0,2014-01
2014-01-13,2014.978,2009.564,2027.181,2000.404,6654477568.0,2014-01
2014-01-14,2007.156,2026.842,2027.428,2001.135,7036661504.0,2014-01
2014-01-15,2024.228,2023.348,2027.409,2010.204,6743622144.0,2014-01
2014-01-16,2022.538,2023.701,2034.707,2014.407,7275571968.0,2014-01
2014-01-17,2017.522,2004.949,2017.868,2001.33,6730572032.0,2014-01
2014-01-20,2001.894,1991.253,2005.938,1984.824,5627124736.0,2014-01
2014-01-21,1992.015,2008.313,2014.152,1992.015,5984491264.0,2014-01
2014-01-22,2009.969,2051.749,2052.339,2008.93,9889285632.0,2014-01
2014-01-23,2048.331,2042.18,2052.528,2039.052,8421058560.0,2014-01
2014-01-24,2037.667,2054.392,2060.986,2034.453,9294792192.0,2014-01
2014-01-27,2044.272,2033.3,2044.846,2029.626,8881542656.0,2014-01
2014-01-28,2036.402,2038.513,2047.129,2026.987,7252904192.0,2014-01
2014-01-29,2042.176,2049.914,2051.583,2039.771,7386546176.0,2014-01
2014-01-30,2045.931,2033.083,2045.931,2031.466,6261518336.0,2014-01
2014-02-07,2022.323,2044.497,2044.73,2014.698,7359875584.0,2014-02
2014-02-10,2049.984,2086.067,2087.975,2049.984,12433183232.0,2014-02
2014-02-11,2086.177,2103.671,2111.061,2082.522,14221132288.0,2014-02
2014-02-12,2103.828,2109.955,2110.904,2096.509,12633318656.0,2014-02
2014-02-13,2106.934,2098.401,2122.826,2096.966,14653263360.0,2014-02
2014-02-14,2097.32,2115.848,2116.186,2095.09,11151794944.0,2014-02
2014-02-17,2124.88,2135.415,2136.447,2117.689,14024444416.0,2014-02
2014-02-18,2134.143,2119.066,2134.143,2113.128,14286930944.0,2014-02
2014-02-19,2116.919,2142.554,2152.961,2111.168,15126124544.0,2014-02
2014-02-20,2152.891,2138.782,2177.978,2136.481,15705227520.0,2014-02
2014-02-21,2131.592,2113.693,2132.703,2098.328,11766265088.0,2014-02
2014-02-24,2099.717,2076.686,2099.717,2058.791,12355530752.0,2014-02
2014-02-25,2077.285,2034.219,2087.616,2026.543,14013297664.0,2014-02
2014-02-26,2026.61,2041.254,2041.627,2014.381,11011268608.0,2014-02
2014-02-27,2045.096,2047.354,2068.314,2036.391,13216385280.0,2014-02
2014-02-28,2040.624,2056.302,2058.489,2020.935,11163790592.0,2014-02
2014-03-03,2052.075,2075.235,2078.333,2047.067,12746089216.0,2014-03
2014-03-04,2068.107,2071.473,2074.025,2050.125,11592579072.0,2014-03
2014-03-05,2073.295,2053.084,2074.815,2050.175,10773308160.0,2014-03
2014-03-06,2050.032,2059.578,2065.79,2030.946,10929013248.0,2014-03
2014-03-07,2058.375,2057.908,2079.49,2050.47,10370953984.0,2014-03
2014-03-10,2042.352,1999.065,2042.634,1995.549,11569666560.0,2014-03
2014-03-11,1994.415,2001.157,2008.071,1985.599,9270526464.0,2014-03
2014-03-12,1996.239,1997.692,2011.06,1974.382,10136172032.0,2014-03
2014-03-13,2000.695,2019.111,2029.12,1996.529,10097811712.0,2014-03
2014-03-14,2008.825,2004.339,2017.913,1990.98,8777511168.0,2014-03
2014-03-17,2009.882,2023.673,2024.372,1999.249,8625037312.0,2014-03
2014-03-18,2026.224,2025.196,2034.917,2020.41,9677719296.0,2014-03
2014-03-19,2019.98,2021.734,2022.181,2002.441,9518079744.0,2014-03
2014-03-20,2017.22,1993.479,2030.847,1993.002,11033304832.0,2014-03
2014-03-21,1987.679,2047.619,2052.472,1986.071,14447765504.0,2014-03
2014-03-24,2050.827,2066.279,2074.056,2043.33,14770008576.0,2014-03
2014-03-25,2063.323,2067.311,2079.551,2057.491,13182223104.0,2014-03
2014-03-26,2070.574,2063.67,2074.572,2057.648,10261111552.0,2014-03
2014-03-27,2060.812,2046.588,2073.982,2042.713,11914937344.0,2014-03
2014-03-28,2046.851,2041.712,2060.134,2035.243,12168196352.0,2014-03
2014-03-31,2043.045,2033.306,2048.134,2024.185,9435653632.0,2014-03
2014-04-01,2031.005,2047.46,2050.681,2028.096,8328657664.0,2014-04
2014-04-02,2049.423,2058.988,2060.778,2046.742,10265852672.0,2014-04
2014-04-03,2063.497,2043.702,2066.007,2037.447,10861842176.0,2014-04
2014-04-04,2037.552,2058.831,2060.104,2035.221,8318905600.0,2014-04
2014-04-08,2054.53,2098.284,2102.452,2052.9,13337098240.0,2014-04
2014-04-09,2100.651,2105.237,2108.75,2095.64,10534046976.0,2014-04
2014-04-10,2105.876,2134.3,2146.67,2098.079,15678960896.0,2014-04
2014-04-11,2130.368,2130.542,2138.651,2120.179,13176835840.0,2014-04
2014-04-14,2127.409,2131.539,2134.434,2116.61,10207785216.0,2014-04
2014-04-15,2125.902,2101.601,2125.902,2098.15,10753115136.0,2014-04
2014-04-16,2097.213,2105.122,2112.05,2092.157,8936165632.0,2014-04
2014-04-17,2108.947,2098.885,2110.716,2095.714,8989632512.0,2014-04
2014-04-18,2091.48,2097.748,2099.637,2081.185,8815569408.0,2014-04
2014-04-21,2085.98,2065.826,2103.078,2065.234,9637837056.0,2014-04
2014-04-22,2062.787,2072.831,2073.663,2047.332,9871988224.0,2014-04
2014-04-23,2068.084,2067.382,2076.349,2059.109,7853152000.0,2014-04
2014-04-24,2064.156,2057.033,2075.757,2056.193,7818595584.0,2014-04
2014-04-25,2060.538,2036.519,2065.643,2035.566,9304233216.0,2014-04
2014-04-28,2033.337,2003.487,2035.99,2000.137,8979526144.0,2014-04
2014-04-29,2001.896,2020.341,2021.68,1997.64,7622127616.0,2014-04
2014-04-30,2020.438,2026.358,2029.538,2016.577,7452857856.0,2014-04
2014-05-05,2022.178,2027.353,2028.957,2007.351,7993339648.0,2014-05
2014-05-06,2024.256,2028.038,2038.705,2021.485,7460941056.0,2014-05
2014-05-07,2023.152,2010.083,2024.631,2008.451,7436019200.0,2014-05
2014-05-08,2006.853,2015.274,2036.941,2005.685,7786539264.0,2014-05
2014-05-09,2016.501,2011.135,2020.454,2001.3,7622424320.0,2014-05
2014-05-12,2022.932,2052.871,2055.506,2016.638,11574207744.0,2014-05
2014-05-13,2055.079,2050.728,2061.06,2043.547,9722338800.0,2014-05
2014-05-14,2049.27,2047.91,2056.574,2042.744,7201112576.0,2014-05
2014-05-15,2044.377,2024.974,2047.316,2022.861,7584515328.0,2014-05
2014-05-16,2023.596,2026.504,2027.756,2012.694,6635366000.0,2014-05
2014-05-19,2023.014,2005.183,2023.267,1996.015,6532943872.0,2014-05
2014-05-20,2011.846,2008.119,2018.156,2002.759,6134538240.0,2014-05
2014-05-21,2001.306,2024.951,2025.194,1991.055,6181154700.0,2014-05
2014-05-22,2023.148,2021.285,2041.96,2018.877,7472847400.0,2014-05
2014-05-23,2020.115,2034.569,2034.569,2017.739,6348806400.0,2014-05
2014-05-26,2042.028,2041.476,2045.381,2035.094,7028121856.0,2014-05
2014-05-27,2039.791,2034.565,2044.148,2032.839,6757788928.0,2014-05
2014-05-28,2034.561,2050.228,2052.656,2029.336,8133864192.0,2014-05
2014-05-29,2051.84,2040.595,2057.077,2039.238,8124292096.0,2014-05
2014-05-30,2040.394,2039.212,2046.96,2031.373,7514889728.0,2014-05
2014-06-03,2039.196,2038.305,2049.576,2037.3,7158412288.0,2014-06
2014-06-04,2037.989,2024.834,2038.481,2012.913,7241277184.0,2014-06
2014-06-05,2019.442,2040.878,2041.701,2016.175,6794953728.0,2014-06
2014-06-06,2040.864,2029.956,2041.573,2022.158,6602174464.0,2014-06
2014-06-09,2024.942,2030.502,2045.255,2023.198,6478831616.0,2014-06
2014-06-10,2033.207,2052.532,2052.765,2026.389,7962371840.0,2014-06
2014-06-11,2049.128,2054.948,2056.631,2045.407,7444435456.0,2014-06
2014-06-12,2051.582,2051.713,2057.105,2045.962,8171118592.0,2014-06
2014-06-13,2049.206,2070.715,2073.596,2048.618,9717480704.0,2014-06
2014-06-16,2070.699,2085.983,2087.322,2069.441,9593977088.0,2014-06
2014-06-17,2080.482,2066.698,2080.482,2064.666,8780048128.0,2014-06
2014-06-18,2064.383,2055.519,2066.913,2051.746,8724535040.0,2014-06
2014-06-19,2054.62,2023.735,2059.255,2017.653,9291427328.0,2014-06
2014-06-20,2013.414,2026.674,2027.148,2010.53,6716724480.0,2014-06
2014-06-23,2026.226,2024.365,2033.32,2022.917,7048516352.0,2014-06
