日期,代码,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2019-01-02,sh.000001,2497.88,2500.278,2456.423,2465.291,10993201408,97592573952.0,0.328717,-1.147
2019-01-03,sh.000001,2461.782,2488.479,2455.925,2464.362,12439749632,106922790912.0,0.371963,-0.0377
2019-01-04,sh.000001,2446.019,2515.316,2440.906,2514.868,16887766784,139298676736.0,0.504935,2.0494
2019-01-07,sh.000001,2528.698,2536.977,2515.508,2533.088,17730501120,145513242624.0,0.530082,0.7245
2019-01-08,sh.000001,2530.3,2531.345,2520.164,2526.462,15809918208,123379040256.0,0.472663,-0.2616
2019-01-09,sh.000001,2536.417,2574.407,2536.157,2544.344,19188793088,160812527616.0,0.57368,0.7078
2019-01-10,sh.000001,2543.853,2551.825,2531.663,2535.098,15987432704,132692332544.0,0.477903,-0.3634
2019-01-11,sh.000001,2539.548,2554.786,2533.358,2553.831,14944410112,122375663616.0,0.446693,0.739
2019-01-14,sh.000001,2553.328,2556.293,2533.01,2535.765,14482546432,116243415040.0,0.432811,-0.7074
2019-01-15,sh.000001,2537.369,2571.501,2532.433,2570.344,16026553088,137374982144.0,0.478956,1.3637
2019-01-16,sh.000001,2569.069,2574.236,2563.006,2570.422,14930153984,126876315648.0,0.446119,0.003
2019-01-17,sh.000001,2573.575,2582.556,2557.711,2559.637,16246813440,127546126336.0,0.485445,-0.4196
2019-01-18,sh.000001,2567.738,2598.883,2565.904,2596.005,19076723712,151270432768.0,0.569924,1.4208
2019-01-21,sh.000001,2599.057,2618.98,2599.057,2610.509,16342511616,139915485184.0,0.488057,0.5587
2019-01-22,sh.000001,2609.642,2609.642,2573.061,2579.704,15253777408,122995437568.0,0.455629,-1.18
2019-01-23,sh.000001,2575.258,2589.512,2572.405,2581.004,13142679808,105101324288.0,0.392285,0.0504
2019-01-24,sh.000001,2584.648,2597.289,2569.7,2591.693,15404204544,131575042048.0,0.459787,0.4141
2019-01-25,sh.000001,2596.261,2617.002,2595.629,2601.723,15939402496,135415169024.0,0.475734,0.387
2019-01-28,sh.000001,2615.711,2630.318,2591.1,2596.976,14698176512,127465635840.0,0.438618,-0.1824
2019-01-29,sh.000001,2592.354,2601.735,2559.982,2594.253,15558111232,126749048832.0,0.46428,-0.1049
2019-01-30,sh.000001,2584.745,2598.815,2575.409,2575.575,12050257152,101103927296.0,0.359597,-0.72
2019-01-31,sh.000001,2581.331,2606.628,2571.578,2584.572,15430386944,126013247488.0,0.460461,0.3493
2019-02-01,sh.000001,2597.777,2618.476,2590.554,2618.232,13198684928,111522627584.0,0.393684,1.3023
2019-02-11,sh.000001,2613.174,2654.096,2613.174,2653.896,15489885696,137307189248.0,0.461971,1.3621
2019-02-12,sh.000001,2654.034,2674.477,2648.829,2671.893,18410117888,156741541888.0,0.548622,0.6781
2019-02-13,sh.000001,2674.519,2727.075,2666.522,2721.068,24379400960,207125315584.0,0.726602,1.8405
2019-02-14,sh.000001,2715.535,2729.455,2707.486,2719.699,19703734784,170330836992.0,0.587201,-0.0503
2019-02-15,sh.000001,2712.786,2715.632,2679.784,2682.385,19600426496,169823260672.0,0.584028,-1.372
2019-02-18,sh.000001,2699.817,2754.356,2699.817,2754.356,26043600640,224184078336.0,0.776072,2.6831
2019-02-19,sh.000001,2759.496,2780.783,2737.586,2755.645,28804627200,247121051648.0,0.858027,0.0468
2019-02-20,sh.000001,2761.058,2767.41,2739.978,2761.218,24597252608,205446930432.0,0.732701,0.2022
