年月,开盘,收盘,最高,最低,成交量,涨跌幅
2021-01,3474.6793,3483.0692,3637.1002,3446.5471,663962352900,0.24
2021-02,3477.1715,3509.0804,3731.687,3465.7706,484073831700,0.92
2021-03,3531.4802,3441.9115,3577.6218,3328.3119,744063126300,-2.54
2021-04,3444.8102,3446.8564,3497.1208,3373.0939,569526841600,0.06
2021-05,3446.0743,3615.4773,3626.3584,3384.6966,580168276500,4.92
2021-06,3608.5978,3591.197,3629.2896,3503.1833,668364524800,-0.48
2021-07,3600.5464,3397.3574,3607.7049,3312.7206,790394912200,-5.64
2021-08,3385.6902,3543.9402,3544.0941,3367.643,894265998400,4.67
2021-09,3543.8663,3568.1668,3723.8451,3514.6744,1072908158400,0.69
2021-10,3609.0874,3547.3361,3625.0156,3502.8013,561816733800,-1.71
2021-11,3530.3963,3563.8872,3602.7354,3448.4378,715132246300,0.95
2021-12,3561.886,3639.7754,3708.9424,3558.691,863871281300,2.19
